Id,SalePrice
1461,118178
1462,161572
1463,174631
1464,202064
1465,196599
1466,184274
1467,200742
1468,173204
1469,209515
1470,117342
1471,203676
1472,115923
1473,92323
1474,153830
1475,115330
1476,319349
1477,252238
1478,295917
1479,275026
1480,406963
1481,299558
1482,215113
1483,177216
1484,174578
1485,198046
1486,209613
1487,289857
1488,263674
1489,186288
1490,229384
1491,212057
1492,90395
1493,214409
1494,295430
1495,283644
1496,219788
1497,170831
1498,157834
1499,163479
1500,154316
1501,199640
1502,147129
1503,278431
1504,247950
1505,225073
1506,206696
1507,248902
1508,205036
1509,160273
1510,150466
1511,147995
1512,192007
1513,169595
1514,162489
1515,221571
1516,175153
1517,173457
1518,123543
1519,244351
1520,125990
1521,121241
1522,205514
1523,82130
1524,110529
1525,101302
1526,88003
1527,92287
1528,153632
1529,134649
1530,238180
1531,147197
1532,122939
1533,152344
1534,128422
1535,152250
1536,98185
1537,34575
1538,184614
1539,226802
1540,117293
1541,158903
1542,138821
1543,195638
1544,76388
1545,132182
1546,138842
1547,142329
1548,139735
1549,126540
1550,129433
1551,131487
1552,133066
1553,171907
1554,123407
1555,166526
1556,76699
1557,98684
1558,93043
1559,77583
1560,133000
1561,132464
1562,115804
1563,115056
1564,153986
1565,139737
1566,249917
1567,67348
1568,226141
1569,91864
1570,139635
1571,106576
1572,139134
1573,249308
1574,121941
1575,246172
1576,260909
1577,198664
1578,151192
1579,135775
1580,210509
1581,140224
1582,125391
1583,313165
1584,229892
1585,156881
1586,47148
1587,95709
1588,142690
1589,105405
1590,132097
1591,82300
1592,127508
1593,143452
1594,134976
1595,125679
1596,218088
1597,174345
1598,206205
1599,200230
1600,187093
1601,25918
1602,120616
1603,58957
1604,253444
1605,268881
1606,178516
1607,171460
1608,227775
1609,196320
1610,153807
1611,161394
1612,166086
1613,171868
1614,122260
1615,80890
1616,59196
1617,61701
1618,108207
1619,153534
1620,176033
1621,135717
1622,123022
1623,261326
1624,213445
1625,119452
1626,196326
1627,196249
1628,284784
1629,195391
1630,319486
1631,215978
1632,234531
1633,188293
1634,195440
1635,187852
1636,164602
1637,200597
1638,223427
1639,206665
1640,270756
1641,201970
1642,227272
1643,229847
1644,235144
1645,234632
1646,180579
1647,177225
1648,138481
1649,133316
1650,113611
1651,110835
1652,119285
1653,120174
1654,154295
1655,151558
1656,144094
1657,155293
1658,147059
1659,129823
1660,146966
1661,380324
1662,333404
1663,330069
1664,426092
1665,292277
1666,298305
1667,310236
1668,311493
1669,295219
1670,313131
1671,265900
1672,386859
1673,291716
1674,261161
1675,190847
1676,197795
1677,217430
1678,406269
1679,330969
1680,284492
1681,248637
1682,295227
1683,196914
1684,201106
1685,178102
1686,177314
1687,179956
1688,210136
1689,207709
1690,213946
1691,202006
1692,263696
1693,181030
1694,191602
1695,182306
1696,279196
1697,187263
1698,329143
1699,307204
1700,251871
1701,280788
1702,261878
1703,265052
1704,284267
1705,239766
1706,377160
1707,197089
1708,205468
1709,273166
1710,234758
1711,273379
1712,258729
1713,267502
1714,222627
1715,205056
1716,186326
1717,189245
1718,148301
1719,215132
1720,252819
1721,181981
1722,135689
1723,161043
1724,228935
1725,235769
1726,188508
1727,154363
1728,195694
1729,173545
1730,165891
1731,118603
1732,122136
1733,108502
1734,109622
1735,127244
1736,101068
1737,328304
1738,245493
1739,277056
1740,199008
1741,190979
1742,176380
1743,182021
1744,297820
1745,223556
1746,225413
1747,231630
1748,230928
1749,161477
1750,149400
1751,258335
1752,109166
1753,157917
1754,231391
1755,172561
1756,125358
1757,98502
1758,154461
1759,183212
1760,173947
1761,168199
1762,171520
1763,174031
1764,108280
1765,198587
1766,207946
1767,251867
1768,142167
1769,185819
1770,157283
1771,111303
1772,125058
